rel,from,to
HAS_VERSION,EI,EI
hasdocument,EI,EI
NEXT,EI,EI
hashistoriantag,EI,EI
isDefinedBy,EI,EI
defines,EI,EI
partOfLoop,EI,EI
is_in,EI,EI
hasSystem,EI,EI
partOfSystem,EI,EI
hasSubSystem,EI,EI
hasFunctionBlock,EI,EI
partOfSubSystem,EI,EI
hasInstrument,EI,EI
has_eventcheck,EI,EI
has_welltest,EI,EI
has_well,EI,EI
has_wellbore,EI,EI
has_formation,EI,EI
has_parent,Type,Type
has_quicklinks,EI,EI
has_facility,EI,EI
is_a,EI,Type
has_export_line,EI,EI
has_injection_point,EI,EI
